,Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2
224,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
225,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
226,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
227,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
228,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
229,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
230,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
231,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
232,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
233,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
234,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
235,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
236,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
237,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
238,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
239,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
240,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
241,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
242,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
243,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
244,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
245,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
246,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
247,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
248,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
249,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
250,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
251,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
252,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
253,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
254,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, panel, mounted, on roof
255,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, laminated, integrated, on roof
256,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , single-Si, panel, mounted, on roof
257,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CIS, laminated, integrated, on roof
258,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , CdTe, panel, mounted, on roof
259,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, laminated, integrated, on roof
260,"market for electricity, low voltage",ES,WEU, 3 , slanted-roof , micro-Si, panel, mounted, on roof
261,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, laminated, integrated, at building
262,"market for electricity, low voltage",ES,WEU, 3, facade , multi-Si, panel, mounted, at building
263,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, laminated, integrated, at building
264,"market for electricity, low voltage",ES,WEU, 3, facade , single-Si, panel, mounted, at building
265,"market for electricity, low voltage",ES,WEU, 3, flat-roof , multi-Si, on roof,,
266,"market for electricity, low voltage",ES,WEU, 3, flat-roof , single-Si, on roof,,
267,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CIS, panel, mounted, on roof
268,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , CdTe, laminated, integrated, on roof
269,"market for electricity, low voltage",ES,WEU, 3, slanted-roof , multi-Si, laminated, integrated, on roof
